EPIC ID,EPIC/Module,Pages/Submodules,User Story ID,User Story,Description,Task ID,Stack,Task,Task Description,Status
HOME-1,Homeowner Onboarding,Splash Screen,HOME-1-1,"As a new user, I want to see a splash screen when opening the app, so I can recognize the brand and prepare for onboarding.","Previous Screen: App Launch Description: Splash Screen Layout: Displays the Rentzi logo and a circular loading animation spinning clockwise.
Animation Duration: Lasts 3 seconds around the logo.
Transition: Auto-transitions after 3 seconds to the role selection screen.
Layout: Centered vertical stack with no interaction.",HOME-1-1-1,FE,Build Splash Screen,Create splash screen with centered logo and 3-second loading animation.,Pending
,,,HOME-1-1-2,,,,BE,Setup Splash Screen Transition,Configure backend to handle 3-second auto-transition to role selection screen.,Pending
HOME-2,Homeowner Onboarding,Sign Up as Homeowner,HOME-2-1,"As a new user, I want to sign up as a homeowner and select my role, so I can begin the onboarding process specific to homeowners.","Previous Screen: Splash Screen Description: Role Selection UI: Displays a tappable button labeled ""Sign Up as Homeowner"" with a house icon to the left.
Navigation Buttons: Includes a ""Continue"" button (disabled until selection) and a ""Back"" button.
Description Text: Shows ""List your property with Rentzi"" below the button.
Layout: Centered vertical stack; selecting the role enables ""Continue"" to proceed to the signup screen.",HOME-2-1-1,FE,Build Role Selection,"Create role selection with ""Sign Up as Homeowner"" button, ""Continue,"" and ""Back"" buttons.",Pending
,,,HOME-2-1-2,,,,BE,Store Role Selection,"Implement backend to store ""Homeowner"" role in session upon ""Continue"" tap.",Pending
,,Sign Up,HOME-2-2,"As a homeowner, I want to sign up with my details and verify my identity via OTP on my mobile number, so that I can securely register and proceed to KYC.","Previous Screen: Role Selection Screen Description: Signup Fields: Text fields for ""Full Name"" (mandatory, 2-50 characters), ""Email"" (mandatory, valid format), ""Phone Number"" (mandatory, country code dropdown), ""Password"" (mandatory, 8-20 characters, one uppercase, one number).
Action Button: ""Sign Up"" button (enabled with valid inputs) sends an OTP to the mobile.
OTP Screen: 6-digit field, 5-minute timer, and ""Resend OTP"" (disabled 30 seconds).
Success Flow: Success moves to KYC.
Layout: Centered vertical stack with error labels.",HOME-2-2-1,FE,Build Signup UI,"Create signup form with text fields for Full Name, Email, Phone Number, Password, OTP fields, and error handling.",Pending
,,,HOME-2-2-2,,,,BE,Handle Signup and OTP,"Implement backend to validate signup details, send OTP, and verify it, triggering KYC redirect to Sumsub SDK.",Pending
,,OTP Verification,HOME-2-3,"As a homeowner, I want to verify my mobile number using a 6-digit OTP after signup, so I can continue to complete KYC and start listing properties.","Previous Screen: Signup Form Description: OTP UI: 6-digit numeric OTP field, 5-minute countdown timer, and ""Resend OTP"" button (appears after 30 seconds).
Success Action: If OTP is correct, a success animation and ""Continue to KYC"" CTA appear.
Navigation: Tapping ""Continue to KYC"" redirects to Sumsub KYC in-app browser.
Layout: Centered vertical stack with error labels.",HOME-2-3-1,FE,Build OTP Verification,"Create OTP verification with 6-digit text box, timer, and ""Resend OTP"" button.",Pending
,,,HOME-2-3-2,,,,BE,Process OTP Verification,"Implement backend to validate OTP, enforce 5-minute expiry, and allow 3 resends within 10 minutes.",Pending
,,OTP Success Gamification,HOME-2-6,"As a homeowner, I want to see a success gamification after OTP verification, so I feel rewarded and can proceed to KYC.","Previous Screen: OTP Verification Description: Success Animation: Displays a success gamification animation (e.g., confetti or badge) playing for 2 seconds.
Action Button: ""Continue to KYC"" button appears after the animation.
Layout: Centered vertical stack.",HOME-2-6-1,FE,Build OTP Success UI,"Create OTP success UI with animation and ""Continue to KYC"" button.",Pending
,,,HOME-2-6-2,,,,BE,Trigger OTP Success Flow,Implement backend to trigger success animation and KYC redirect after OTP verification.,Pending
,,KYC Verification,HOME-2-5,"As a homeowner, I want to complete KYC verification using Sumsub after signup and OTP, so that my identity is validated before listing a property.","Previous Screen: OTP Verification Success → KYC Prompt Screen Description: Success Badge: Displays a “Signup Successful” badge and a “Continue to KYC” button.
KYC Flow: Tapping the button redirects to the Sumsub KYC flow via in-app browser; Sumsub handles verification externally.
Success Navigation: If successful (status = green), user is redirected to the Home screen with the “Add Property” CTA prominently shown.
Pending/Failed State: If KYC is pending or failed, user remains blocked from main modules, showing ""Your KYC is still pending. Please complete it to continue.""
Layout: Centered vertical stack with a status message.",HOME-2-5-1,FE,Build KYC UI,"Create KYC interface with success badge, ""Continue to KYC"" button, and status message.",Pending
,,,HOME-2-5-2,,,,BE,Integrate Sumsub SDK,Implement backend to handle KYC redirection to Sumsub SDK and fetch status (green/yellow/red).,Pending
HOME-3,Dashboard Access,Home Dashboard,HOME-3-1,"As a homeowner, I want to view a dashboard with key stats after successful KYC, so I can monitor my account and start listing properties.","Previous Screen: KYC Verification Screen Description: Stats Display: Shows key stats: ""Total Properties Listed"" (numeric), ""Pending Approvals"" (numeric), ""Total Earnings"" (currency), ""Active Bookings"" (numeric).
Add Property CTA: Prominent ""Add Property"" button at the top center with a tooltip ""Start listing your property!"".
Navigation: Includes cards for Property Management, Bookings, Earnings, Notifications, Profile, Settings, Logout, and a search bar.
Layout: Centered vertical stack.",HOME-3-1-1,FE,Build Home Dashboard UI,"Create dashboard with stats (Total Properties, Pending Approvals, Earnings, Active Bookings), ""Add Property"" button, and navigation cards.",Pending
,,,HOME-3-1-2,,,,BE,Update Dashboard Stats,Implement backend to fetch and update dashboard stats in real-time.,Pending
,,,HOME-3-1-3,,,,Blockchain,Sync Dashboard Data,Integrate blockchain to sync earnings and booking stats with smart contract.,Pending
HOME-4,Property Listing,Property Addition - Category Selection,HOME-4-1,"As a homeowner, I want to select a property category before adding details, so I can proceed with the appropriate form.","Previous Screen: Home Dashboard Description: Category Options: Displays two large, tappable buttons labeled ""Add Commercial Property"" and ""Add Residential Property,"" each with an icon (e.g., office building for Commercial, house for Residential).
Description Text: Includes a brief description (e.g., ""List your commercial space"" for Commercial) below each button.
Navigation Buttons: Includes a ""Continue"" button (disabled until a category is selected) and a ""Back"" button.
Layout: Centered vertical stack; selecting a category triggers the respective multi-step form.",HOME-4-1-1,FE,Build Category Selection,"Create category selection with two buttons, navigation, and validation.",Pending
,,,HOME-4-1-2,,,,BE,Store Category Selection,Implement backend to save selected property category in session.,Pending
,,Property Addition - Commercial - Step 1: General Property Details,HOME-4-2-1,"As a homeowner, I want to enter general property details for my commercial property, so I can begin the listing process.","Previous Screen: Category Selection Description: Property Title: Text field (mandatory, 2-100 characters, no special characters except hyphens or slashes).
Location Section: Includes ""Market"" (mandatory, dropdown restricted to pre-approved Rentzy locations e.g., Palm Springs, Aspen, with ""Other"" text field option to email admin), ""Pincode"" (mandatory, 5-6 digits), a Google Map with search functionality and a draggable pin to mark the property location, ""Full Address"" (mandatory, auto-populated from pin and editable text field for complete address).
Additional Fields: ""Zoning Type"" (mandatory, dropdown: Retail, Office, Mixed-Use, Industrial, Hospitality, must match uploaded Zoning Certificate), ""Square Footage"" (mandatory, >3,000 sqft), ""Year Built or Renovated"" (mandatory, numeric, 1900-current year).
Layout: Centered vertical stack with a ""Next"" button (disabled until all fields are valid) and error labels.",HOME-4-2-1-1,FE,Build General Property UI,"Create Step 1 form with text fields, dropdowns, Google Map with search/pin, and validation.",Pending
,,,HOME-4-2-1-2,,,,BE,Validate General Details,"Implement backend to validate and store general property details, email admin for ""Other"" market.",Pending
